#sample_id,sample_name,bam_dir,bam_file
153,K562SahactrlAlnRep3,,wgEncodeOpenChromDnaseK562SahactrlAlnRep3.bam
154,LncapAlnRep1,,wgEncodeOpenChromDnaseLncapAlnRep1.bam
155,LncapAlnRep2,,wgEncodeOpenChromDnaseLncapAlnRep2.bam
156,LncapAlnRep3,,wgEncodeOpenChromDnaseLncapAlnRep3.bam
157,LncapAndroAlnRep1,,wgEncodeOpenChromDnaseLncapAndroAlnRep1.bam
158,LncapAndroAlnRep2,,wgEncodeOpenChromDnaseLncapAndroAlnRep2.bam
159,Mcf7AlnRep1,,wgEncodeOpenChromDnaseMcf7AlnRep1.bam
160,Mcf7AlnRep2,,wgEncodeOpenChromDnaseMcf7AlnRep2.bam
161,Mcf7CtcfshrnaAlnRep1,,wgEncodeOpenChromDnaseMcf7CtcfshrnaAlnRep1.bam
162,Mcf7CtcfshrnaAlnRep2,,wgEncodeOpenChromDnaseMcf7CtcfshrnaAlnRep2.bam
163,Mcf7CtcfshrnaAlnRep3,,wgEncodeOpenChromDnaseMcf7CtcfshrnaAlnRep3.bam
164,Mcf7HypoxlacAlnRep1,,wgEncodeOpenChromDnaseMcf7HypoxlacAlnRep1.bam
165,Mcf7HypoxlacAlnRep2,,wgEncodeOpenChromDnaseMcf7HypoxlacAlnRep2.bam
166,Mcf7HypoxlacconAlnRep1,,wgEncodeOpenChromDnaseMcf7HypoxlacconAlnRep1.bam
167,Mcf7HypoxlacconAlnRep2,,wgEncodeOpenChromDnaseMcf7HypoxlacconAlnRep2.bam
168,Mcf7RandshrnaAlnRep1,,wgEncodeOpenChromDnaseMcf7RandshrnaAlnRep1.bam
169,Mcf7RandshrnaAlnRep2,,wgEncodeOpenChromDnaseMcf7RandshrnaAlnRep2.bam
170,Mcf7RandshrnaAlnRep3,,wgEncodeOpenChromDnaseMcf7RandshrnaAlnRep3.bam
171,MedulloAlnRep1,,wgEncodeOpenChromDnaseMedulloAlnRep1.bam
172,MedulloAlnRep2,,wgEncodeOpenChromDnaseMedulloAlnRep2.bam
173,Medullod341AlnRep1,,wgEncodeOpenChromDnaseMedullod341AlnRep1.bam
174,Medullod341AlnRep2,,wgEncodeOpenChromDnaseMedullod341AlnRep2.bam
175,Mel2183AlnRep1,,wgEncodeOpenChromDnaseMel2183AlnRep1.bam
176,Mel2183AlnRep2,,wgEncodeOpenChromDnaseMel2183AlnRep2.bam
177,MelanoAlnRep1,,wgEncodeOpenChromDnaseMelanoAlnRep1.bam
178,MelanoAlnRep2,,wgEncodeOpenChromDnaseMelanoAlnRep2.bam
179,Monocd14AlnRep1,,wgEncodeOpenChromDnaseMonocd14AlnRep1.bam
180,Monocd14AlnRep2,,wgEncodeOpenChromDnaseMonocd14AlnRep2.bam
181,MyometrAlnRep1,,wgEncodeOpenChromDnaseMyometrAlnRep1.bam
182,MyometrAlnRep2,,wgEncodeOpenChromDnaseMyometrAlnRep2.bam
183,NaivebcellAlnRep1,,wgEncodeOpenChromDnaseNaivebcellAlnRep1.bam
184,NaivebcellAlnRep2,,wgEncodeOpenChromDnaseNaivebcellAlnRep2.bam
185,NhekAlnRep1,,wgEncodeOpenChromDnaseNhekAlnRep1.bam
186,NhekAlnRep2,,wgEncodeOpenChromDnaseNhekAlnRep2.bam
187,OlfneurosphereAlnRep1,,wgEncodeOpenChromDnaseOlfneurosphereAlnRep1.bam
188,OlfneurosphereAlnRep2,,wgEncodeOpenChromDnaseOlfneurosphereAlnRep2.bam
189,OlfneurosphereAlnRep3,,wgEncodeOpenChromDnaseOlfneurosphereAlnRep3.bam
190,OsteoblAlnRep1,,wgEncodeOpenChromDnaseOsteoblAlnRep1.bam
191,OsteoblAlnRep2,,wgEncodeOpenChromDnaseOsteoblAlnRep2.bam
192,OsteoblAlnRep3,,wgEncodeOpenChromDnaseOsteoblAlnRep3.bam
